device_id,uptime_hours,failures,avg_latency_ms,error_rate
D187,2387,5,170.67,0.0651
D188,1447,1,295.54,0.0032
D189,2626,2,194.35,0.0945
D190,2944,6,138.75,0.014
D191,1488,3,244.89,0.0238
D192,2480,4,189.67,0.0548
D193,1583,2,228.49,0.0763
D194,2934,5,222.39,0.0011
D195,1759,2,222.23,0.0333
D196,2933,3,150.23,0.0082
D197,1843,7,168.97,0.0112
D198,2195,0,221.84,0.0488
D199,2639,2,210.42,0.0097
D200,2449,0,97.91,0.0088
D201,1417,2,245.97,0.0051
D202,927,0,227.63,0.064
D203,2486,7,225.9,0.049
D204,958,3,265.4,0.0647
D205,1308,0,284.28,0.0597
D206,2060,3,176.99,0.019
D207,2856,7,230.68,0.0081
D208,2482,2,148.86,0.0961
D209,2477,3,211.22,0.0444
D210,2035,5,252.35,0.0366
D211,1029,2,224.7,0.0188
D212,1439,2,213.03,0.0078
D213,1052,0,192.16,0.052
D214,2508,2,253.12,0.0319
D215,527,0,135.27,0.0776
D216,800,0,258.04,0.0242
D217,1129,0,95.24,0.0831
D218,1780,3,212.71,0.0366
D219,1807,0,242.35,0.048
D220,2155,4,261.13,0.0277
D221,1468,2,193.45,0.0935
D222,1684,1,148.25,0.0157
D223,2789,1,206.97,0.0869
D224,1746,2,222.63,0.0537
D225,2698,0,255.41,0.021
D226,874,0,148.0,0.0196
D227,1514,3,243.5,0.0945
D228,2493,0,224.78,0.0252
D229,802,1,209.88,0.068
D230,1810,3,222.46,0.0661
D231,1509,4,186.9,0.0118
D232,993,4,174.62,0.087
D233,1867,2,266.91,0.0568
D234,1996,3,279.32,0.0591
D235,1461,2,75.03,0.0035
D236,1677,0,314.55,0.0158
D237,803,1,269.21,0.0815
D238,2911,1,228.2,0.0204
D239,1514,1,206.47,0.0386
D240,823,1,219.0,0.011
D241,2416,6,164.16,0.0977
D242,2637,1,277.93,0.0684
D243,1562,2,120.35,0.0963
D244,1975,1,222.02,0.038
D245,2208,5,224.98,0.0417
D246,2160,4,135.18,0.0735
D247,645,1,142.89,0.0243
D248,1749,2,187.48,0.0319
D249,2966,4,215.72,0.0145
D250,2077,4,199.9,0.0113
D251,1741,3,256.54,0.0407
D252,1876,1,285.79,0.0079
D253,1455,2,216.54,0.0538
D254,2928,2,241.68,0.0385
D255,1732,3,265.56,0.0179
D256,2993,2,234.72,0.0308
D257,2179,1,243.27,0.0251
D258,785,1,238.2,0.0098
D259,2266,3,165.9,0.0387
D260,2510,3,141.28,0.0943
D261,810,0,218.27,0.0571
D262,743,0,270.1,0.0931
D263,541,1,218.65,0.0724
D264,1447,2,300.1,0.0162
D265,2311,4,148.83,0.0899
D266,737,0,215.09,0.0508
D267,2460,3,120.94,0.0089
D268,627,0,201.81,0.0319
D269,1345,3,202.45,0.0371
D270,2834,2,188.46,0.0068
D271,1189,0,171.82,0.013
D272,689,0,179.45,0.0186
D273,899,0,208.03,0.0816
D274,1882,1,200.15,0.0659
D275,921,1,193.57,0.0203
D276,2702,4,249.47,0.0422
D277,2952,0,243.16,0.0146
D278,1946,4,160.18,0.0074
D279,1171,1,101.99,0.0846
D280,682,0,303.03,0.0136
D281,1045,1,84.87,0.0401
D282,2568,2,177.75,0.0662
D283,924,1,233.9,0.0048
D284,2779,6,175.6,0.0523
D285,1939,2,254.65,0.0114
D286,2168,6,228.77,0.0361
D287,2989,3,230.36,0.0388
D288,1462,0,265.56,0.0619
D289,2113,0,198.64,0.0897
D290,2301,6,228.72,0.066
D291,1022,0,211.5,0.0104
D292,987,1,154.58,0.0617
D293,2961,3,237.31,0.0266
D294,2696,6,181.99,0.055
D295,734,0,286.49,0.0117
D296,712,2,215.01,0.0511
D297,587,0,273.91,0.0746
D298,1014,1,175.22,0.0692
D299,2330,3,266.34,0.0744
D300,1014,1,212.35,0.0407
D301,1373,2,221.66,0.0691
D302,2659,2,259.35,0.0763
D303,2756,0,241.35,0.0682
D304,2278,3,239.89,0.0392
D305,1655,4,123.72,0.0796
D306,2820,3,263.13,0.0584
D307,1578,1,325.62,0.0606
D308,559,0,183.06,0.064
D309,2758,1,234.82,0.0791
D310,2566,2,247.77,0.044
D311,1669,1,230.88,0.0736
D312,1641,4,234.91,0.0416
D313,2625,6,235.9,0.0591
D314,2400,1,283.78,0.0854
D315,1421,2,190.39,0.0488
D316,2125,1,269.52,0.0501
D317,1140,1,186.29,0.0923
D318,1484,1,150.03,0.0066
D319,2961,1,244.32,0.0975
D320,2514,2,165.37,0.0493
D321,2219,0,252.65,0.0352
D322,1189,1,301.67,0.0901
D323,2501,4,224.37,0.0628
D324,664,1,227.77,0.0658
D325,2253,2,169.63,0.0098
D326,1097,2,281.47,0.0862
D327,2590,2,195.87,0.049
D328,1352,0,158.55,0.0668
D329,1580,2,230.96,0.0072
D330,1817,2,302.87,0.0788
D331,1459,3,217.88,0.017
D332,1281,1,158.13,0.0985
D333,1380,0,196.95,0.091
D334,2077,1,163.21,0.066
D335,2926,5,218.13,0.0638
D336,1404,3,268.42,0.0699
D337,2933,5,172.67,0.0895
D338,2415,5,174.21,0.0742
D339,1652,4,190.64,0.0171
D340,2060,1,249.29,0.0825
D341,726,0,213.55,0.0545
D342,2758,6,215.21,0.0881
D343,2321,3,171.74,0.0354
D344,1442,1,179.46,0.0441
D345,1395,2,201.9,0.0135
D346,2819,2,206.78,0.0685
D347,2748,3,243.39,0.0223
D348,2690,1,181.1,0.0311
D349,2519,7,193.37,0.0466
D350,1000,1,151.27,0.0977
D351,2030,1,216.6,0.0287
D352,2467,9,209.52,0.0639
D353,897,0,114.99,0.0826
D354,1320,1,226.42,0.0746
D355,2231,1,182.14,0.0347
D356,2155,1,239.72,0.0247
D357,2979,1,163.31,0.0833
D358,2486,3,201.8,0.087
D359,981,2,109.5,0.044
D360,1026,2,165.6,0.0611
D361,2073,3,187.7,0.0493
D362,2015,5,157.84,0.0262
D363,2436,0,240.33,0.0246
D364,861,1,210.3,0.0487
D365,1947,3,257.95,0.0059
D366,1659,0,206.06,0.0117
D367,1101,1,175.38,0.0054
D368,2780,2,132.85,0.0123
D369,682,2,164.58,0.0428
D370,1083,3,124.31,0.0826
D371,2650,3,240.54,0.005
D372,2375,2,226.76,0.0462
D373,1093,0,256.6,0.0901
D374,831,0,309.95,0.0361
D375,2293,4,235.41,0.0616
D376,2063,3,211.66,0.0831
D377,2843,4,239.91,0.081
D378,1650,4,190.21,0.0436
D379,874,2,171.91,0.0456
D380,1564,1,133.57,0.0586
D381,2541,1,228.84,0.0517
D382,506,0,80.41,0.0891
D383,2310,0,265.52,0.0347
D384,2002,2,269.78,0.0849
D385,1915,1,198.68,0.0691
D386,2400,4,214.01,0.0108
D387,2537,4,145.19,0.0837
D388,2072,6,198.2,0.0962
D389,2023,0,199.08,0.0537
D390,864,2,219.86,0.0309
D391,1939,2,144.27,0.0832
D392,1335,2,237.31,0.045
D393,1634,3,147.57,0.0795
D394,664,1,139.95,0.0854
D395,2711,4,172.73,0.0748
D396,2010,2,197.55,0.0878
D397,2105,1,199.33,0.0865
D398,1194,1,219.53,0.0211
D399,1739,3,226.82,0.0461
D400,1103,4,215.35,0.0118
D401,615,0,130.77,0.0248
D402,1846,4,248.15,0.0482
D403,2249,3,257.27,0.0286
D404,1195,3,173.42,0.0995
D405,1041,0,236.25,0.0743
D406,2072,0,225.81,0.0938
D407,2735,4,158.99,0.0413
D408,913,0,198.8,0.0313
D409,1409,2,201.51,0.0307
D410,2180,3,230.43,0.0082
D411,1536,1,186.04,0.03
D412,1131,2,251.39,0.0482
D413,2868,2,179.68,0.0762
D414,2578,5,130.86,0.0686
D415,2959,2,149.64,0.0918
D416,1989,1,208.39,0.0883
D417,853,1,156.49,0.0197
D418,2384,0,189.31,0.0283
D419,2841,5,209.25,0.0868
D420,1975,6,147.35,0.069
D421,2765,5,191.57,0.0286
D422,1022,2,209.97,0.0114
D423,2246,1,220.4,0.0505
D424,2076,1,193.75,0.0638
D425,726,0,261.76,0.0852
D426,1148,3,184.0,0.0681
D427,1696,0,233.64,0.0134
D428,1551,1,191.78,0.0685
D429,1321,1,156.08,0.0068
D430,617,1,129.37,0.0109
D431,1057,0,208.82,0.0041
D432,886,1,204.12,0.0599
D433,1040,2,140.96,0.0776
D434,2651,3,255.72,0.0389
D435,2197,2,262.2,0.0231
D436,2559,0,158.83,0.0307
D437,983,3,218.56,0.0298
D438,1582,1,257.66,0.0236
D439,1749,3,226.85,0.0085
D440,732,0,202.58,0.0728
D441,2909,7,256.14,0.0948
D442,715,1,225.88,0.007
D443,1185,0,158.24,0.0143
D444,2969,4,304.48,0.0282
D445,2993,3,189.96,0.0217
D446,1119,4,138.39,0.0961
D447,2819,5,241.16,0.0184
D448,1369,2,195.97,0.0795
D449,2672,6,151.93,0.0644
D450,1562,7,241.54,0.0556
D451,2718,2,269.38,0.0261
D452,848,1,203.3,0.0127
D453,1961,3,167.53,0.0399
D454,1128,0,266.07,0.0067
D455,773,2,256.31,0.0903
D456,653,1,186.32,0.0511
D457,1564,0,179.65,0.0951
D458,1208,2,234.32,0.0333
D459,2950,4,233.1,0.089
D460,720,0,226.95,0.0303
D461,611,1,200.56,0.0415
D462,539,0,235.48,0.0729
D463,2512,4,171.36,0.0047
D464,753,1,116.67,0.0595
D465,1199,1,145.64,0.0238
D466,2214,0,145.71,0.0199
D467,1343,1,233.32,0.0428
D468,805,2,223.13,0.0279
D469,995,4,286.94,0.0088
D470,2322,1,248.94,0.0276
D471,753,2,232.52,0.0304
D472,652,0,124.85,0.0564
D473,2356,4,186.28,0.0134
D474,1008,1,211.02,0.0809
D475,2620,6,199.72,0.0387
D476,2067,2,233.44,0.0784
D477,577,2,238.71,0.0819
D478,1492,1,149.93,0.051
D479,2830,5,209.36,0.068
D480,2975,5,211.5,0.0576
D481,1094,1,180.38,0.003
D482,2878,5,178.87,0.0255
D483,1841,0,261.88,0.0081
D484,951,3,141.96,0.0783
D485,627,1,151.81,0.0438
D486,1068,0,152.14,0.0456
D487,701,0,275.68,0.0708
D488,924,0,169.33,0.0525
D489,2934,3,210.36,0.0608
D490,718,0,203.47,0.0952
D491,1449,2,302.29,0.0707
D492,1657,2,238.55,0.0614
D493,1244,1,193.31,0.0616
D494,1161,1,149.65,0.0775
D495,1109,1,130.88,0.0937
D496,582,1,277.04,0.0841
D497,1117,1,198.75,0.0745
D498,1189,0,305.28,0.0751
D499,1932,2,287.48,0.0641
D500,2717,4,269.07,0.0912
D501,1523,1,154.19,0.0072
D502,560,0,158.41,0.0223
D503,1684,1,224.98,0.0933
D504,2934,4,223.6,0.0377
D505,889,1,178.98,0.0875
D506,2670,5,268.13,0.0826
D507,1662,1,116.77,0.0475
D508,2635,3,281.31,0.0659
D509,2137,1,239.52,0.0816
D510,2119,2,217.0,0.0925
D511,2830,4,166.6,0.0915
D512,2071,2,250.28,0.0239
D513,1736,1,176.27,0.0526
D514,2808,6,251.66,0.0677
D515,994,1,230.98,0.0537
D516,2129,1,220.54,0.0029
D517,2782,4,187.26,0.0318
D518,2794,2,183.12,0.0752
D519,2187,3,293.55,0.0705
D520,948,0,219.48,0.0334
D521,640,2,212.59,0.0126
D522,794,0,154.16,0.0695
D523,570,0,237.45,0.0775
D524,1626,1,255.44,0.0795
D525,750,1,273.21,0.0261
D526,2572,5,249.84,0.0136
D527,1722,1,160.0,0.0394
D528,1755,0,196.82,0.0288
D529,693,0,186.21,0.0546
D530,2839,6,247.03,0.0943
D531,2269,2,168.78,0.0376
D532,2030,1,190.77,0.0356
D533,2643,0,232.58,0.0489
D534,2895,2,143.12,0.0058
D535,2455,6,253.71,0.0745
D536,1082,1,276.31,0.0397
D537,2948,5,160.34,0.0421
D538,2814,2,253.04,0.0249
D539,1454,5,191.71,0.0456
D540,1892,2,145.91,0.094
D541,2608,2,149.33,0.0599
D542,2109,4,235.06,0.0098
D543,2887,2,183.37,0.0562
D544,2337,5,224.58,0.0996
D545,729,0,237.19,0.071
D546,2073,2,229.5,0.0751
D547,1974,2,149.17,0.0032
D548,998,1,187.8,0.0089
D549,665,0,211.98,0.0316
D550,2754,1,224.21,0.0939
D551,1208,5,159.08,0.0237
D552,2758,5,276.62,0.0449
D553,2085,4,297.71,0.0681
D554,2245,3,174.71,0.0648
D555,1500,0,280.42,0.0812
D556,2740,4,217.75,0.0178
D557,933,3,150.99,0.0408
D558,2357,4,353.1,0.0361
D559,1552,1,246.58,0.0884
D560,1329,4,213.06,0.0802
D561,2034,1,234.41,0.0607
D562,1730,1,148.93,0.0342
D563,1832,4,166.69,0.0219
D564,2325,1,191.12,0.0943
D565,1063,1,179.43,0.0634
D566,1616,1,175.8,0.0264
D567,1136,2,209.96,0.0086
D568,2379,1,214.34,0.049
D569,510,1,211.82,0.051
D570,2785,1,146.85,0.0183
D571,1866,0,105.71,0.0824
D572,2653,2,180.31,0.0354
D573,1029,3,261.19,0.099
D574,2940,1,206.84,0.0528
D575,1344,2,178.78,0.0861
D576,1962,6,251.79,0.0739
D577,2735,4,155.38,0.0575
D578,719,0,220.1,0.0856
D579,2166,2,144.76,0.0381
D580,886,1,211.03,0.0732
D581,848,1,144.89,0.0226
D582,2119,1,234.07,0.0011
D583,775,0,161.63,0.0559
D584,2496,2,156.18,0.005
D585,827,0,214.61,0.0473
D586,2020,7,190.63,0.0711
D587,1694,0,170.03,0.0515
D588,642,2,144.5,0.006
D589,2215,6,178.58,0.0776
D590,1516,2,97.65,0.0386
D591,1382,1,163.45,0.0681
D592,923,2,237.9,0.0029
D593,691,1,169.24,0.03
D594,1973,4,117.94,0.0324
D595,2073,4,249.56,0.0626
D596,2017,2,251.92,0.032
D597,1295,1,176.58,0.0929
D598,1422,0,142.27,0.0171
D599,1898,3,303.78,0.0754
D600,651,2,181.39,0.0017
D601,959,1,236.35,0.0363
D602,639,1,222.16,0.0694
D603,628,0,207.38,0.0608
D604,1351,1,203.85,0.0738
D605,1383,1,239.02,0.044
D606,1483,0,118.76,0.0551
D607,1374,2,295.47,0.0899
D608,2685,1,240.49,0.0828
D609,1072,1,189.55,0.0101
D610,1369,1,167.97,0.0599
D611,859,0,221.17,0.0112
D612,2125,4,304.04,0.0796
D613,1114,2,179.32,0.0234
D614,2658,5,294.38,0.0897
D615,1731,2,124.03,0.0842
D616,2913,1,58.39,0.0581
D617,768,1,209.52,0.0536
D618,2573,4,222.46,0.0339
D619,1772,1,151.86,0.0617
D620,1503,2,189.67,0.0685
D621,2669,5,146.54,0.0679
D622,2945,2,110.65,0.0561
D623,2243,1,140.01,0.0881
D624,1810,0,185.39,0.0325
D625,670,0,244.7,0.006
D626,1375,3,175.16,0.0755
D627,1157,0,175.57,0.0449
D628,2720,1,267.46,0.0944
D629,2553,4,109.1,0.0049
D630,1334,3,237.99,0.0242
D631,1478,4,164.66,0.099
D632,2038,3,242.78,0.0311
D633,1340,0,135.34,0.0314
D634,1779,2,228.62,0.057
D635,994,2,157.98,0.0026
D636,1857,1,188.76,0.0086
D637,1982,0,181.32,0.087
D638,2668,1,174.64,0.0049
D639,740,0,221.69,0.0947
D640,1452,2,233.59,0.0592
D641,1856,1,202.89,0.057
D642,2619,3,164.22,0.0432
D643,2289,1,143.41,0.0097
D644,589,0,157.09,0.0456
D645,2384,2,260.65,0.0872
D646,1904,2,137.41,0.0535
D647,960,3,177.05,0.0367
D648,723,1,165.27,0.0044
D649,544,0,168.83,0.0976
D650,2391,4,237.24,0.0248
D651,2786,3,206.43,0.054
D652,777,1,181.31,0.009
D653,2333,2,176.83,0.0764
D654,2376,4,148.27,0.0433
D655,2863,3,116.5,0.0138
D656,840,1,173.42,0.082
D657,1871,3,214.18,0.007
D658,1317,2,324.84,0.068
D659,2729,4,163.23,0.0695
D660,1307,2,236.07,0.0259
D661,1769,1,157.66,0.0484
D662,2559,2,262.48,0.0091
D663,2211,0,146.46,0.0553
D664,2537,3,295.57,0.0891
D665,2672,0,235.84,0.0841
D666,2251,3,94.66,0.0718
D667,1943,6,123.06,0.0759
D668,1923,3,225.36,0.0026
D669,1209,3,210.11,0.0925
D670,1833,2,187.94,0.0408
D671,1115,1,229.2,0.0157
D672,2737,5,104.78,0.0553
D673,2485,3,168.61,0.0185
D674,1065,1,185.6,0.0875
D675,2081,2,193.95,0.0861
D676,507,0,99.66,0.0142
D677,2678,3,239.04,0.0432
D678,670,0,168.77,0.0035
D679,1609,2,163.03,0.0556
D680,1357,0,163.91,0.0484
D681,798,0,233.63,0.0834
D682,2982,5,260.11,0.0503
D683,1971,3,201.93,0.0144
D684,2466,3,220.56,0.0705
D685,2401,7,204.8,0.0931
D686,2554,4,217.49,0.0589
D687,2914,3,151.1,0.0123
D688,1184,0,199.91,0.0884
D689,1446,0,275.67,0.0463
D690,1005,0,274.08,0.0816
D691,2372,3,110.16,0.0345
D692,2271,2,274.52,0.0217
D693,1229,0,193.93,0.0108
D694,1419,2,179.62,0.057
D695,2369,1,207.85,0.0871
D696,2807,4,250.97,0.0209
D697,1801,4,227.98,0.005
D698,518,0,159.32,0.0585
D699,1880,0,226.43,0.0348
D700,1769,0,264.07,0.0816
D701,1684,2,188.98,0.0465
D702,921,0,186.77,0.0448
D703,2925,2,161.74,0.0226
D704,882,2,200.31,0.042
D705,643,1,188.33,0.0484
D706,1453,1,197.96,0.0608
D707,2077,3,221.56,0.0252
D708,534,0,168.24,0.0404
D709,1088,2,194.18,0.0017
D710,950,0,130.38,0.0578
D711,1856,2,230.42,0.0904
D712,2660,1,226.22,0.0947
D713,2145,7,207.94,0.0731
D714,2053,2,181.64,0.0676
D715,1842,3,181.93,0.0342
D716,1313,1,196.79,0.0968
D717,2041,3,231.04,0.0551
D718,674,1,252.01,0.0288
D719,2284,6,268.29,0.0616
D720,2373,4,237.24,0.0077
D721,1700,5,166.63,0.0636
D722,918,1,205.19,0.0167
D723,2761,6,108.42,0.0598
D724,2378,2,147.43,0.0322
D725,1989,0,173.16,0.0478
D726,1955,3,235.81,0.0798
D727,795,1,180.09,0.0425
D728,527,0,169.4,0.0295
D729,2021,3,166.06,0.0137
D730,1878,0,184.43,0.0041
D731,2483,4,246.81,0.0601
D732,2438,3,209.24,0.0334
D733,980,0,168.53,0.0313
D734,544,1,162.54,0.0619
D735,2595,5,261.59,0.0394
D736,1691,3,117.98,0.0162
D737,1592,3,151.33,0.0881
D738,690,0,250.36,0.0898
D739,1640,0,180.36,0.0363
D740,572,1,131.85,0.0417
D741,1290,2,122.98,0.0887
D742,1234,3,130.31,0.0675
D743,2157,2,165.64,0.0649
D744,1715,2,111.03,0.0528
D745,643,3,172.49,0.0661
D746,2135,2,220.44,0.0491
D747,731,1,182.03,0.055
D748,2720,7,325.19,0.0506
D749,2878,2,218.67,0.0146
D750,1187,1,215.62,0.0754
D751,1851,5,211.52,0.0629
D752,886,0,167.2,0.0063
D753,2830,2,225.24,0.068
D754,1189,2,175.95,0.0482
D755,1912,7,160.95,0.0616
D756,1217,1,178.81,0.0356
D757,1061,1,249.83,0.0399
D758,2451,3,163.52,0.0263
D759,2881,5,190.93,0.0667
D760,839,1,194.68,0.0204
D761,2853,4,99.08,0.06
D762,1498,2,207.25,0.0383
D763,2011,2,234.78,0.0289
D764,1962,4,344.21,0.0709
D765,2672,4,262.64,0.0348
D766,728,3,177.59,0.0675
D767,2321,6,211.29,0.0859
D768,2910,5,200.88,0.0028
D769,2507,3,133.04,0.0434
D770,1450,1,207.99,0.0444
D771,958,2,192.48,0.0305
D772,897,4,183.67,0.0333
D773,2005,3,229.31,0.0177
D774,560,0,179.38,0.022
D775,564,1,202.68,0.0509
D776,1504,2,212.15,0.0694
D777,1533,1,223.9,0.0417
D778,628,0,250.94,0.0552
D779,1721,2,245.08,0.0854
D780,1742,2,253.01,0.0118
D781,1098,2,231.2,0.0637
D782,2132,5,265.02,0.0341
D783,2817,6,223.02,0.0661
D784,2342,5,196.36,0.0474
D785,997,1,70.98,0.0207
D786,2991,1,225.68,0.0323
D787,2621,2,210.74,0.0215
D788,1108,0,129.65,0.0912
D789,1875,1,223.65,0.017
D790,2915,4,189.33,0.009
D791,1412,1,187.69,0.0378
D792,656,0,229.79,0.0953
D793,1927,2,199.57,0.0224
D794,2794,6,100.55,0.0358
D795,1286,3,257.56,0.037
D796,1831,3,189.05,0.0051
D797,2353,1,192.06,0.0588
D798,986,1,169.14,0.0195
D799,1857,2,194.17,0.0224
D800,1959,4,283.24,0.0962
D801,2452,3,237.63,0.0841
D802,1903,6,140.63,0.0316
D803,2032,2,121.72,0.02
D804,979,1,251.3,0.0871
D805,2904,4,215.72,0.0639
D806,2640,7,291.91,0.0272
D807,2329,2,169.59,0.031
D808,1382,1,218.16,0.0183
D809,1365,3,203.85,0.0596
D810,891,1,206.2,0.0035
D811,1525,2,227.66,0.0194
D812,1373,2,172.59,0.0284
D813,2783,6,96.11,0.0921
D814,877,0,183.99,0.0627
D815,1419,2,171.6,0.0463
D816,1300,1,158.38,0.0115
D817,2899,2,179.17,0.0981
D818,524,0,255.99,0.0046
D819,679,0,273.76,0.0552
D820,788,1,160.57,0.0427
D821,1095,2,138.24,0.0116
D822,808,0,143.89,0.0769
D823,638,2,207.29,0.085
D824,2757,4,108.7,0.0925
D825,2344,1,138.21,0.0073
D826,1862,3,208.72,0.0109
D827,1631,3,223.01,0.058
D828,2563,0,209.74,0.0749
D829,828,2,212.51,0.014
D830,1701,3,240.46,0.0305
D831,1666,2,228.16,0.005
D832,1744,2,133.8,0.0849
D833,1162,4,124.39,0.0047
D834,783,1,155.03,0.0936
D835,2368,3,296.73,0.0223
